image_id,image_name,image_url,A,B
1,01,images/01.jpg,1a,1b
2,02,images/02.jpg,2a,2b
3,03,images/03.jpg,3a,3b
4,04,images/04.jpg,4a,4b
5,05,images/05.jpg,5a,5b
6,06,images/06.jpg,6a,6b
7,07,images/07.jpg,7a,7b
8,08,images/08.jpg,8a,8b
9,09,images/09.jpg,9a,9b
10,10,images/10.jpg,10a,10b
11,11,images/11.jpg,11a,11b
12,12,images/12.jpg,12a,12b
13,13,images/13.jpg,13a,13b
14,14,images/14.jpg,14a,14b
15,15,images/15.jpg,15a,15b
16,16,images/16.jpg,16a,16b
17,17,images/17.jpg,17a,17b
18,18,images/18.jpg,18a,18b
19,19,images/19.jpg,19a,19b
20,20,images/20.jpg,20a,20b
21,21,images/21.jpg,21a,21b
22,22,images/22.jpg,22a,22b
23,23,images/23.jpg,23a,23b
24,24,images/24.jpg,24a,24b
25,25,images/25.jpg,25a,25b
26,26,images/26.jpg,26a,26b
27,27,images/27.jpg,27a,27b
28,28,images/28.jpg,28a,28b
